logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
,1,"A guy with a football, a crowd watching him. Consequently, there is a guy holding a football."," ""A guy is holding a football.""  "," ""A crowd watches a guy holding a football.""","IsHolding(a, b)","IsWatching(c, a),  IsHolding(a, b)",[],"[(' A guy', ' a guy'), (' a football', ' a football')]","[(' A guy', ' A crowd')]","IsHolding(a, b)","IsWatching(c, a) and IsHolding(a, b)","(exists a (IsHolding(a, b))) -> (forall c (IsWatching(c, a) and IsHolding(a, b)))","(exists a (exists b (IsHolding(a, b)))) -> (exists c (exists b (exists a (IsWatching(c, a) and IsHolding(a, b)))))"
,1,Two women are tending to their herd of animals including cows and goats near a building made primarily of stone. It follows that the two women are taking care of a herd of animals.," ""Two women are tending to their herd of animals including cows and goats near a building made primarily of stone."""," ""The two women are taking care of a herd of animals.""","Tending(a, b),  Includes(b, c),  Includes(b, d),  Near(b, e),  MadeOf(e, f)","TakingCareOf(a, b)",[],"[(' Two women', ' The two women'), (' a herd of animals', ' their herd of animals')]","[(' cows', ' a herd of animals'), (' goats', ' a herd of animals')]","Tending(a, b) and Includes(b, c) and Includes(b, d) and Near(b, e) and MadeOf(e, f)","TakingCareOf(a, b)","(exists d (exists c (Tending(a, b) and Includes(b, c) and Includes(b, d) and Near(b, e) and MadeOf(e, f)))) -> (forall b (TakingCareOf(a, b)))","(exists a (exists d (exists f (exists b (exists c (exists e (Tending(a, b) and Includes(b, c) and Includes(b, d) and Near(b, e) and MadeOf(e, f)))))))) -> (exists a (exists b (TakingCareOf(a, b))))"
,1,"A boy and girl play together on a pile or rocks in a residential area. Thus, the boy and girl are outside.", A boy and girl play together on a pile of rocks in a residential area., The boy and girl are outside.,"PlaysTogether(a, b),  IsOnPileOfRocks(a),  IsOnPileOfRocks(b),  IsInResidentialArea(c)","IsOutside(e),  IsOutside(a)",[],"[(' girl', ' girl')]",[],"PlaysTogether(a, b) and IsOnPileOfRocks(a) and IsOnPileOfRocks(b) and IsInResidentialArea(c)",IsOutside(e) and IsOutside(a),"(PlaysTogether(a, b) and IsOnPileOfRocks(a) and IsOnPileOfRocks(b) and IsInResidentialArea(c)) -> (IsOutside(e) and IsOutside(a))","(exists a (exists c (exists b (PlaysTogether(a, b) and IsOnPileOfRocks(a) and IsOnPileOfRocks(b) and IsInResidentialArea(c))))) -> (exists a (exists e (IsOutside(e) and IsOutside(a))))"
,1,"A boy stands in the middle of a crowd of teenagers. Thus, a person stands in the middle of a crowd of teenagers."," ""A boy stands in the middle of a crowd of teenagers.""  "," ""A person stands in the middle of a crowd of teenagers.""","IsInMiddle(b),  IsInCrowdOfTeenagers(b)","IsInMiddle(d),  IsInCrowdOfTeenagers(d)",[],"[(' teenagers', ' a crowd of teenagers')]","[(' A boy', ' A person'), (' a crowd of teenagers', ' crowd')]",IsInMiddle(b) and IsInCrowdOfTeenagers(b),IsInMiddle(d) and IsInCrowdOfTeenagers(d),(exists b (IsInMiddle(b) and IsInCrowdOfTeenagers(b))) -> (forall d (IsInMiddle(d) and IsInCrowdOfTeenagers(d))),(exists b (IsInMiddle(b) and IsInCrowdOfTeenagers(b))) -> (exists d (IsInMiddle(d) and IsInCrowdOfTeenagers(d)))
,1,"Two men are standing in a boat. Thus, some people are in a boat."," ""Two men are standing in a boat.""  "," ""Some people are in a boat.""","IsStandingIn(a, b)","IsInBoat(c, a)",[],"[(' boat', ' a boat')]","[(' Two men', ' Some people')]","IsStandingIn(a, b)","IsInBoat(c, a)","(exists b (IsStandingIn(a, b))) -> (forall c (IsInBoat(c, a)))","(exists a (exists b (IsStandingIn(a, b)))) -> (exists c (exists a (IsInBoat(c, a))))"
,1,An Asian woman dressed in a colorful outfit laughing. It follows that a woman is wearing colorful clothing.," ""An Asian woman is dressed in a colorful outfit and is laughing.""  "," ""A woman is wearing colorful clothing.""","IsAsian(a),  IsDressedIn(a, b),  IsLaughing(a)","IsWearing(c, d)",[],[],"[(' Asian woman', ' A woman'), (' colorful outfit', ' colorful clothing')]","IsAsian(a) and IsDressedIn(a, b) and IsLaughing(a)","IsWearing(c, d)","(exists b (exists a (IsAsian(a) and IsDressedIn(a, b) and IsLaughing(a)))) -> (forall d (forall c (IsWearing(c, d))))","(exists a (exists b (IsAsian(a) and IsDressedIn(a, b) and IsLaughing(a)))) -> (exists c (exists d (IsWearing(c, d))))"
,1,"A woman in black reviews a message as she walks to work. Hence, the woman in black has a job."," ""A woman in black reviews a message as she walks to work."""," ""The woman in black has a job.""","IsInBlack(a),  ReviewsMessage(a),  WalksToWork(a)","IsInBlack(d),  HasJob(d)",[],[],[],IsInBlack(a) and ReviewsMessage(a) and WalksToWork(a),IsInBlack(d) and HasJob(d),(IsInBlack(a) and ReviewsMessage(a) and WalksToWork(a)) -> (IsInBlack(d) and HasJob(d)),(exists a (IsInBlack(a) and ReviewsMessage(a) and WalksToWork(a))) -> (exists d (IsInBlack(d) and HasJob(d)))
,1,"A shirtless man rock climbs. As a consequence, a man is outside.", A shirtless man rock climbs.  , A man is outside.,"IsShirtless(a),  RockClimbs(a)",IsOutside(b),[],[],"[(' A shirtless man', ' A man')]",IsShirtless(a) and RockClimbs(a),IsOutside(b),(exists a (IsShirtless(a) and RockClimbs(a))) -> (forall b (IsOutside(b))),(exists a (IsShirtless(a) and RockClimbs(a))) -> (exists b (IsOutside(b)))
,1,"A man wearing a kilt has thrown a large pole. Therefore, a man is wearing a skirt.", A man wearing a kilt has thrown a large pole.  , A man is wearing a skirt.,"IsWearingKilt(a),  HasThrown(b)",IsWearingSkirt(c),[],[],"[(' A man wearing a kilt', ' A man'), (' A man wearing a kilt', ' skirt')]",IsWearingKilt(a) and HasThrown(b),IsWearingSkirt(c),(exists a (IsWearingKilt(a) and HasThrown(b))) -> (forall c (IsWearingSkirt(c))),(exists a (exists b (IsWearingKilt(a) and HasThrown(b)))) -> (exists c (IsWearingSkirt(c)))
,1,"A man in a blue t-shirt is taking a picture while a woman with an umbrella walks behind him. Consequently, a man is taking a picture outdoors while a woman walks behind him.", A man in a blue t-shirt is taking a picture while a woman with an umbrella walks behind him., A man is taking a picture outdoors while a woman walks behind him.,"IsInBlueTShirt(c),  IsTakingPicture(c, a),  HasUmbrella(d),  WalksBehind(d, b)","IsTakingPicture(e, a),  IsOutdoors(e),  WalksBehind(f, b)",[],"[(' a picture', ' a picture'), (' him', ' him')]","[(' A man in a blue t-shirt', ' A man'), (' A man in a blue t-shirt', ' him'), (' a woman with an umbrella', ' a woman')]","IsInBlueTShirt(c) and IsTakingPicture(c, a) and HasUmbrella(d) and WalksBehind(d, b)","IsTakingPicture(e, a) and IsOutdoors(e) and WalksBehind(f, b)","(exists d (exists c (IsInBlueTShirt(c) and IsTakingPicture(c, a) and HasUmbrella(d) and WalksBehind(d, b)))) -> (forall f (forall b (forall e (IsTakingPicture(e, a) and IsOutdoors(e) and WalksBehind(f, b)))))","(exists c (exists b (exists d (exists a (IsInBlueTShirt(c) and IsTakingPicture(c, a) and HasUmbrella(d) and WalksBehind(d, b)))))) -> (exists a (exists e (exists f (exists b (IsTakingPicture(e, a) and IsOutdoors(e) and WalksBehind(f, b))))))"
,1,"A child and a parent or older sibling going for a hike. Consequently, two people are going for a hike."," ""A child and a parent or older sibling are going for a hike.""  "," ""Two people are going for a hike.""","IsGoingForHike(a),  IsGoingForHike(b),  IsGoingForHike(c)",IsGoingForHike(e),[],[],[],(IsGoingForHike(a) and (IsGoingForHike(b) or IsGoingForHike(c))),IsGoingForHike(e),((IsGoingForHike(a) and (IsGoingForHike(b) or IsGoingForHike(c)))) -> (IsGoingForHike(e)),(exists a (exists c (exists b ((IsGoingForHike(a) and (IsGoingForHike(b) or IsGoingForHike(c))))))) -> (exists e (IsGoingForHike(e)))
,1,"Two kids in black trunks bouncing on a wet trampoline. Consequently, children play on trampolines outdoors.", Two kids in black trunks are bouncing on a wet trampoline.  , Children play on trampolines outdoors.,"IsInBlackTrunks(a),  AreBouncing(a),  IsWet(c)","ArePlaying(d),  IsOutdoors(d)",[],[],"[(' Two kids', ' Children'), (' wet trampoline', ' trampolines')]",IsInBlackTrunks(a) and AreBouncing(a) and IsWet(c),ArePlaying(d) and IsOutdoors(d),(exists a (IsInBlackTrunks(a) and AreBouncing(a) and IsWet(c))) -> (forall d (ArePlaying(d) and IsOutdoors(d))),(exists a (exists c (IsInBlackTrunks(a) and AreBouncing(a) and IsWet(c)))) -> (exists d (ArePlaying(d) and IsOutdoors(d)))
,1,"2 people with backpacks are at a table with a woman with a beige blazer sitting behind it. Thus, 2 people are at a table."," ""Two people with backpacks are at a table with a woman with a beige blazer sitting behind it.""  "," ""Two people are at a table.""","HasBackpacks(a),  IsAtTable(a, b),  WearsBeigeBlazer(d),  IsSittingBehind(d, b)","IsAtTable(a, b)",[],"[(' Two people', ' Two people'), (' table', ' table')]",[],"HasBackpacks(a) and IsAtTable(a, b) and WearsBeigeBlazer(d) and IsSittingBehind(d, b)","IsAtTable(a, b)","(HasBackpacks(a) and IsAtTable(a, b) and WearsBeigeBlazer(d) and IsSittingBehind(d, b)) -> (IsAtTable(a, b))","(exists a (exists d (exists b (HasBackpacks(a) and IsAtTable(a, b) and WearsBeigeBlazer(d) and IsSittingBehind(d, b))))) -> (exists a (exists b (IsAtTable(a, b))))"
,1,"A group stands and watches two men, apparently dressed in some sort of costume, wrestle on the ground. It follows that there are people wrestling."," ""Two men are dressed in costumes and wrestle on the ground.""  "," ""There are people wrestling.""","AreDressed(a, b),  WrestleOn(a, c)",Wrestling(d),[],[],"[(' Two men', ' People')]","AreDressed(a, b) and WrestleOn(a, c)",Wrestling(d),"(exists a (AreDressed(a, b) and WrestleOn(a, c))) -> (forall d (Wrestling(d)))","(exists a (exists c (exists b (AreDressed(a, b) and WrestleOn(a, c))))) -> (exists d (Wrestling(d)))"
,1,"two girls looking out the window at ""Hair at Hart."" Hence, two people look out a window."," ""Two girls are looking out the window at 'Hair at Hart.'"""," ""Two people look out a window.""","IsLookingOutWindow(b),  IsLookingAtLocation(b, c)",IsLookingOutWindow(d),[],"[(' the window', ' window')]","[(' Two girls', ' Two people')]","IsLookingOutWindow(b) and IsLookingAtLocation(b, c)",IsLookingOutWindow(d),"(exists b (IsLookingOutWindow(b) and IsLookingAtLocation(b, c))) -> (forall d (IsLookingOutWindow(d)))","(exists c (exists b (IsLookingOutWindow(b) and IsLookingAtLocation(b, c)))) -> (exists d (IsLookingOutWindow(d)))"
,1,"A man visiting a friend in the hospital. Therefore, a man in a hospital receives a visiting friend.", A man visits a friend in the hospital.  , A man in a hospital receives a friend.,"Visits(a, c),  IsFriend(b),  IsInHospital(b)","IsInHospital(a),  ReceivesFriend(a, b)",[],"[(' A man', ' A man'), (' a friend', ' a friend'), (' the hospital', ' a hospital')]",[],"IsFriend(b) and IsInHospital(b) and Visits(a, c)","IsInHospital(a) and ReceivesFriend(a, b)","(IsFriend(b) and IsInHospital(b) and Visits(a, c)) -> (IsInHospital(a) and ReceivesFriend(a, b))","(exists a (exists c (exists b (IsFriend(b) and IsInHospital(b) and Visits(a, c))))) -> (exists a (exists b (IsInHospital(a) and ReceivesFriend(a, b))))"
,1,"A schoolgirl is jumping over a low hurdle. Consequently, a girl is jumping over a hurdle."," ""A schoolgirl is jumping over a low hurdle.""  "," ""A girl is jumping over a hurdle.""","IsJumpingOver(a, b),  IsLow(b)","IsJumpingOver(c, d)",[],[],"[(' Schoolgirl', ' A girl'), (' low hurdle', ' a hurdle')]","IsJumpingOver(a, b) and IsLow(b)","IsJumpingOver(c, d)","(exists b (exists a (IsJumpingOver(a, b) and IsLow(b)))) -> (forall d (forall c (IsJumpingOver(c, d))))","(exists a (exists b (IsJumpingOver(a, b) and IsLow(b)))) -> (exists c (exists d (IsJumpingOver(c, d))))"
,1,"Young Asian girl is sitting on the ground in rubble. Hence, the young Asian girl is outside in the rubble."," ""The young Asian girl is sitting on the ground in rubble."""," ""The young Asian girl is outside.""","IsYoung(a),  IsAsian(a),  IsSittingOn(a, b),  IsInRubble(a, c)","IsYoung(a),  IsAsian(a),  IsOutside(a)",[],"[(' The young Asian girl', ' The young Asian girl')]",[],"IsYoung(a) and IsAsian(a) and IsSittingOn(a, b) and IsInRubble(a, c)",IsYoung(a) and IsAsian(a) and IsOutside(a),"(IsYoung(a) and IsAsian(a) and IsSittingOn(a, b) and IsInRubble(a, c)) -> (IsYoung(a) and IsAsian(a) and IsOutside(a))","(exists a (exists c (exists b (IsYoung(a) and IsAsian(a) and IsSittingOn(a, b) and IsInRubble(a, c))))) -> (exists a (IsYoung(a) and IsAsian(a) and IsOutside(a)))"
,1,"A group of women sing together while wearing matching black dresses. Thus, there are women singing.", The women are wearing matching black dresses.  , Women are singing.,"IsWearing(a, b)",IsSinging(a),[],"[(' The women', ' Women')]",[],"IsWearing(a, b)",IsSinging(a),"(IsWearing(a, b)) -> (IsSinging(a))","(exists a (exists b (IsWearing(a, b)))) -> (exists a (IsSinging(a)))"
,1,Two boys in running clothes stretching. This implies that the boys are stretching.," ""Two boys in running clothes are stretching.""  "," ""The boys are stretching.""","IsInRunningClothes(a),  IsStretching(a)",IsStretching(c),[],[],[],IsInRunningClothes(a) and IsStretching(a),IsStretching(c),(IsInRunningClothes(a) and IsStretching(a)) -> (IsStretching(c)),(exists a (IsInRunningClothes(a) and IsStretching(a))) -> (exists c (IsStretching(c)))
,1,A group of young men in a gym take turns scoring in basketball. This implies that guys are indoors.," ""Young men in a gym take turns scoring in basketball."""," ""Guys are indoors.""","IsInGym(a),  TakesTurnsScoring(a, c)",AreIndoors(d),[],[],"[(' Young men', ' Guys')]","IsInGym(a) and TakesTurnsScoring(a, c)",AreIndoors(d),"(exists a (IsInGym(a) and TakesTurnsScoring(a, c))) -> (forall d (AreIndoors(d)))","(exists a (exists c (IsInGym(a) and TakesTurnsScoring(a, c)))) -> (exists d (AreIndoors(d)))"
,1,"An Eastern vendor sits by his stall with a rooster nearby. Consequently, a rooster near a vendor."," ""An Eastern vendor sits by his stall with a rooster nearby."""," ""A rooster is near a vendor.""","IsEastern(a),  SitsBy(a,c),  IsNearby(b,c)","IsNear(b,a)",[],"[(' a vendor', ' Eastern vendor'), (' rooster', ' A rooster')]",[],"IsEastern(a) and SitsBy(a,c) and IsNearby(b,c)","IsNear(b,a)","(IsEastern(a) and SitsBy(a,c) and IsNearby(b,c)) -> (IsNear(b,a))","(exists a (exists c (exists b (IsEastern(a) and SitsBy(a,c) and IsNearby(b,c))))) -> (exists a (exists b (IsNear(b,a))))"
,1,"A bird is perched on a tree branch. Thus, a bird is perching in a tree."," ""A bird is perched on a tree branch.""  "," ""A bird is perching in a tree.""","IsPerchedOn(a, b)","IsPerchingIn(a, c)",[],"[(' A bird', ' A bird')]","[(' tree branch', ' a tree')]","IsPerchedOn(a, b)","IsPerchingIn(a, c)","(exists b (IsPerchedOn(a, b))) -> (forall c (IsPerchingIn(a, c)))","(exists a (exists b (IsPerchedOn(a, b)))) -> (exists a (exists c (IsPerchingIn(a, c))))"
,1,"A man in an overcoat putting on his gloves at a subway station. Therefore, a person is in the subway station.", A man in an overcoat is putting on his gloves at a subway station.  , A person is in the subway station.,"IsInOvercoat(b),  IsAtSubwayStation(b),  IsPuttingOnGloves(b, c)",IsInSubwayStation(d),[],"[(' subway station', ' subway station')]","[(' A man in an overcoat', ' A person')]","IsInOvercoat(b) and IsAtSubwayStation(b) and IsPuttingOnGloves(b, c)",IsInSubwayStation(d),"(exists b (IsInOvercoat(b) and IsAtSubwayStation(b) and IsPuttingOnGloves(b, c))) -> (forall d (IsInSubwayStation(d)))","(exists c (exists b (IsInOvercoat(b) and IsAtSubwayStation(b) and IsPuttingOnGloves(b, c)))) -> (exists d (IsInSubwayStation(d)))"
,1,"Person with umbrella observes flooded streets with cars in the water. Consequently, a person is outside."," ""A person with an umbrella observes flooded streets with cars in the water.""  "," ""There is a person outside during flooding.""","HasUmbrella(a),  ObservesFloodedStreets(a),  IsFlooded(c),  AreInWater(d)","IsOutside(a),  OccursDuringFlooding(a)",[],"[(' A person', ' A person')]","[(' flooded streets', ' flooding')]",HasUmbrella(a) and ObservesFloodedStreets(a) and IsFlooded(c) and AreInWater(d),IsOutside(a) and OccursDuringFlooding(a),(HasUmbrella(a) and ObservesFloodedStreets(a) and IsFlooded(c) and AreInWater(d)) -> (IsOutside(a) and OccursDuringFlooding(a)),(exists a (exists c (exists d (HasUmbrella(a) and ObservesFloodedStreets(a) and IsFlooded(c) and AreInWater(d))))) -> (exists a (IsOutside(a) and OccursDuringFlooding(a)))
,1,A group of people are camping out on some rocks. This implies that people are outdoors., A group of people are camping out on some rocks.  , People are outdoors.,"IsCampingOut(a),  IsOnRocks(a)",IsOutdoors(c),[],[],"[(' A group of people', ' People')]",IsCampingOut(a) and IsOnRocks(a),IsOutdoors(c),(exists a (IsCampingOut(a) and IsOnRocks(a))) -> (forall c (IsOutdoors(c))),(exists a (IsCampingOut(a) and IsOnRocks(a))) -> (exists c (IsOutdoors(c)))
,1,A choir made up of varying ages of people are performing. This implies that the choir is singing., A choir made up of varying ages of people are performing.  , The choir is singing.,"IsPerforming(a),  IsMadeUpOf(a, b)",IsSinging(c),[],[],"[(' people', ' The choir')]","IsPerforming(a) and IsMadeUpOf(a, b)",IsSinging(c),"(exists b (IsPerforming(a) and IsMadeUpOf(a, b))) -> (forall c (IsSinging(c)))","(exists a (exists b (IsPerforming(a) and IsMadeUpOf(a, b)))) -> (exists c (IsSinging(c)))"
,1,A man scales a rock climbing wall. It follows that a man rock climbing.," ""A man scales a rock climbing wall."""," ""A man is rock climbing.""",ScalesRockClimbingWall(a),IsRockClimbing(a),[],"[(' A man', ' A man')]",[],ScalesRockClimbingWall(a),IsRockClimbing(a),(ScalesRockClimbingWall(a)) -> (IsRockClimbing(a)),(exists a (ScalesRockClimbingWall(a))) -> (exists a (IsRockClimbing(a)))
,1,"A little white dog runs outside, their ears blown back in the wind. It follows that there is an animal outside.", A little white dog runs outside with ears blown back in the wind.  , There is an animal outside.,"IsLittle(a),  IsWhite(a),  RunsOutside(a),  EarsBlownBack(b),  InWind(b)",IsOutside(d),[],[],"[(' A little white dog', ' An animal')]",IsLittle(a) and IsWhite(a) and RunsOutside(a) and EarsBlownBack(b) and InWind(b),IsOutside(d),(exists a (IsLittle(a) and IsWhite(a) and RunsOutside(a) and EarsBlownBack(b) and InWind(b))) -> (forall d (IsOutside(d))),(exists a (exists b (IsLittle(a) and IsWhite(a) and RunsOutside(a) and EarsBlownBack(b) and InWind(b)))) -> (exists d (IsOutside(d)))
,1,"A bearded man sits near a white van. As a consequence, a man sitting outside near a van."," ""A bearded man sits near a white van."""," ""A man sits outside near a van.""","IsBearded(a),  SitsNearVan(a)","SitsOutside(c),  SitsNearVan(c)",[],[],"[(' Bearded man', ' A man'), (' white van', ' a van')]",IsBearded(a) and SitsNearVan(a),SitsOutside(c) and SitsNearVan(c),(exists a (IsBearded(a) and SitsNearVan(a))) -> (forall c (SitsOutside(c) and SitsNearVan(c))),(exists a (IsBearded(a) and SitsNearVan(a))) -> (exists c (SitsOutside(c) and SitsNearVan(c)))
,1,"Two children wearing hooded tops laughing with each other. Thus, children laugh."," ""Two children wearing hooded tops are laughing with each other.""  "," ""Children laugh.""","IsWearing(a, b),  IsLaughing(a)",IsLaughing(c),[],[],"[(' Two children', ' Children')]","IsWearing(a, b) and IsLaughing(a)",IsLaughing(c),"(exists a (IsWearing(a, b) and IsLaughing(a))) -> (forall c (IsLaughing(c)))","(exists a (exists b (IsWearing(a, b) and IsLaughing(a)))) -> (exists c (IsLaughing(c)))"
,1,"A man in glasses in a basement. Thus, the basement has a man in it."," ""A man is in the basement in glasses.""  "," ""The basement has a man in it.""","IsInBasement(a),  WearsGlasses(a)",IsInBasement(a),[],"[(' A man', ' a man'), (' the basement', ' The basement')]",[],IsInBasement(a) and WearsGlasses(a),IsInBasement(a),(IsInBasement(a) and WearsGlasses(a)) -> (IsInBasement(a)),(exists a (IsInBasement(a) and WearsGlasses(a))) -> (exists a (IsInBasement(a)))
,1,A man in a white shirt speaks into a microphone as other men gather behind him at a public event. This implies that a man in a white shirt is making a speech in front of a crowd., A man in a white shirt speaks into a microphone at a public event., A man in a white shirt is making a speech in front of a crowd.,"IsInWhiteShirt(a),  SpeaksIntoMicrophone(a),  IsAtPublicEvent(a)","IsInWhiteShirt(a),  IsMakingSpeech(a),  IsInFrontOfCrowd(a)",[],"[(' A man in a white shirt', ' A man in a white shirt')]",[],IsInWhiteShirt(a) and SpeaksIntoMicrophone(a) and IsAtPublicEvent(a),IsInWhiteShirt(a) and IsMakingSpeech(a) and IsInFrontOfCrowd(a),(IsInWhiteShirt(a) and SpeaksIntoMicrophone(a) and IsAtPublicEvent(a)) -> (IsInWhiteShirt(a) and IsMakingSpeech(a) and IsInFrontOfCrowd(a)),(exists a (IsInWhiteShirt(a) and SpeaksIntoMicrophone(a) and IsAtPublicEvent(a))) -> (exists a (IsInWhiteShirt(a) and IsMakingSpeech(a) and IsInFrontOfCrowd(a)))
,1,A brown and white dog is chained up near a red chair. It follows that the dog is chained to a chair.," ""A brown and white dog is chained up near a red chair.""  "," ""The dog is chained to a chair.""","IsBrownAndWhite(a),  IsChainedUp(a)","IsChainedTo(c, d)",[],[],"[(' Brown and white dog', ' The dog'), (' red chair', ' a chair')]",IsBrownAndWhite(a) and IsChainedUp(a),"IsChainedTo(c, d)","(exists a (IsBrownAndWhite(a) and IsChainedUp(a))) -> (forall c (IsChainedTo(c, d)))","(exists a (IsBrownAndWhite(a) and IsChainedUp(a))) -> (exists c (exists d (IsChainedTo(c, d))))"
,1,"This is when daddy taught her how to ride her scooter. Consequently, daddy taught her."," ""Daddy taught her how to ride her scooter."""," ""Daddy taught her.""","TaughtToRideScooter(a, b),  HasScooter(b)","Taught(a, b)",[],"[(' Daddy', ' Daddy'), (' her', ' her')]",[],"TaughtToRideScooter(a, b) and HasScooter(b)","Taught(a, b)","(TaughtToRideScooter(a, b) and HasScooter(b)) -> (Taught(a, b))","(exists a (exists b (TaughtToRideScooter(a, b) and HasScooter(b)))) -> (exists a (exists b (Taught(a, b))))"
,1,"A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background. Therefore, the girl is outside."," ""A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with trees in the background.""  "," ""The girl is outside.""","IsSmall(a),  HasShortBrownHair(a),  IsPushing(a, b),  IsPink(b),  IsOverGrass(c),  HasBrownLeaves(c),  HasTreesInBackground(c)",IsOutside(e),[],[],"[(' A small girl with short brown hair', ' The girl')]","IsSmall(a) and HasShortBrownHair(a) and IsPushing(a, b) and IsPink(b) and IsOverGrass(c) and HasBrownLeaves(c) and HasTreesInBackground(c)",IsOutside(e),"(exists a (IsSmall(a) and HasShortBrownHair(a) and IsPushing(a, b) and IsPink(b) and IsOverGrass(c) and HasBrownLeaves(c) and HasTreesInBackground(c))) -> (forall e (IsOutside(e)))","(exists a (exists c (exists b (IsSmall(a) and HasShortBrownHair(a) and IsPushing(a, b) and IsPink(b) and IsOverGrass(c) and HasBrownLeaves(c) and HasTreesInBackground(c))))) -> (exists e (IsOutside(e)))"
,1,"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set. Hence, a man in a black hat is swinging with some children.", A man wearing a black cap is suspended in the air on a swing.  , A man in a black hat is swinging with some children.,"WearingBlackCap(a),  IsSuspendedInTheAir(a),  IsOnSwing(a)","IsInBlackHat(d),  IsSwinging(d),  IsWithChildren(d)",[],[],[],WearingBlackCap(a) and IsSuspendedInTheAir(a) and IsOnSwing(a),IsInBlackHat(d) and IsSwinging(d) and IsWithChildren(d),(WearingBlackCap(a) and IsSuspendedInTheAir(a) and IsOnSwing(a)) -> (IsInBlackHat(d) and IsSwinging(d) and IsWithChildren(d)),(exists a (WearingBlackCap(a) and IsSuspendedInTheAir(a) and IsOnSwing(a))) -> (exists d (IsInBlackHat(d) and IsSwinging(d) and IsWithChildren(d)))
,1,"A man with a blue, collared shirt sits in front of another man. This implies that a man sits in front of another man."," ""A man with a blue, collared shirt sits in front of another man.""  "," ""A man sits in front of another man.""","SitsInFrontOf(a, b),  HasBlueShirt(a),  HasCollaredShirt(a)","SitsInFrontOf(a, b)",[],"[(' A man', ' A man with a blue'), (' another man', ' another man')]",[],"HasBlueShirt(a) and HasCollaredShirt(a) and SitsInFrontOf(a, b)","SitsInFrontOf(a, b)","(HasBlueShirt(a) and HasCollaredShirt(a) and SitsInFrontOf(a, b)) -> (SitsInFrontOf(a, b))","(exists a (exists b (HasBlueShirt(a) and HasCollaredShirt(a) and SitsInFrontOf(a, b)))) -> (exists a (exists b (SitsInFrontOf(a, b))))"
,1,"A young man in an orange shirt, maneuvers a skateboard at the top of a ramp. Therefore, a person rides a skateboard."," ""A young man in an orange shirt maneuvers a skateboard at the top of a ramp.""  "," ""A person rides a skateboard.""","IsYoung(b),  IsInOrangeShirt(b),  ManeuversSkateboard(b),  IsAtTopOfRamp(a)",RidesSkateboard(e),[],"[(' skateboard', ' a skateboard')]","[(' A young man', ' A person')]",IsYoung(b) and IsInOrangeShirt(b) and ManeuversSkateboard(b) and IsAtTopOfRamp(a),RidesSkateboard(e),(exists b (IsYoung(b) and IsInOrangeShirt(b) and ManeuversSkateboard(b) and IsAtTopOfRamp(a))) -> (forall e (RidesSkateboard(e))),(exists a (exists b (IsYoung(b) and IsInOrangeShirt(b) and ManeuversSkateboard(b) and IsAtTopOfRamp(a)))) -> (exists e (RidesSkateboard(e)))
,1,"A large group of people walking in a busy city at night. Consequently, people are walking a city.", A large group of people is walking in a busy city at night.  , People walking a city.,"IsLargeGroup(b),  IsWalking(b),  IsBusyCity(a),  IsAtNight(b)","IsWalking(d),  IsInCity(d)",[],"[(' city', ' busy city')]","[(' A large group of people', ' People')]",IsLargeGroup(b) and IsWalking(b) and IsBusyCity(a) and IsAtNight(b),IsWalking(d) and IsInCity(d),(exists b (IsLargeGroup(b) and IsWalking(b) and IsBusyCity(a) and IsAtNight(b))) -> (forall d (IsWalking(d) and IsInCity(d))),(exists a (exists b (IsLargeGroup(b) and IsWalking(b) and IsBusyCity(a) and IsAtNight(b)))) -> (exists d (IsWalking(d) and IsInCity(d)))
,1,"A group of people are walking by a van. Therefore, some people outdoors."," ""A group of people are walking by a van."""," ""Some people are outdoors.""","IsWalkingBy(a, b)",IsOutdoors(a),[],"[(' Some people', ' A group of people')]",[],"IsWalkingBy(a, b)",IsOutdoors(a),"(IsWalkingBy(a, b)) -> (IsOutdoors(a))","(exists a (exists b (IsWalkingBy(a, b)))) -> (exists a (IsOutdoors(a)))"
,1,"A white and a black dog fighting in a fenced in room. As a consequence, the dogs are fighting."," ""A white dog and a black dog are fighting in a fenced-in room.""  "," ""The dogs are fighting.""","IsWhite(a),  IsBlack(b),  IsFighting(a,b),  IsIn(c,a),  IsIn(c,b)",IsFighting(d),[],[],"[(' A white dog', ' The dogs'), (' a black dog', ' The dogs')]","IsWhite(a) and IsBlack(b) and IsFighting(a,b) and IsIn(c,a) and IsIn(c,b)",IsFighting(d),"(exists b (exists a (IsWhite(a) and IsBlack(b) and IsFighting(a,b) and IsIn(c,a) and IsIn(c,b)))) -> (forall d (IsFighting(d)))","(exists a (exists c (exists b (IsWhite(a) and IsBlack(b) and IsFighting(a,b) and IsIn(c,a) and IsIn(c,b))))) -> (exists d (IsFighting(d)))"
